,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(38, 41)",-80.1,-80.14006086873168,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34e5e4b0>,-27.5,CCCOC(=O)NCC1(N)CCCCC1,9.0,rdkit_embed_scoring_NH3toN2
"(35, 11)",-75.4,-75.40493508271217,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34e5e1f0>,17.7,NC1(N)CCCCC1,0.0,rdkit_embed_scoring_NH3toN2
"(19, 13)",-73.4,-73.59865693811983,0.9979416507321764,<rdkit.Chem.rdchem.Mol object at 0x7fce34e8c770>,-30.1,CC1(C2(N)CCCCC2)CCCCC1,10.0,rdkit_embed_scoring_NH3toN2
"(20, 11)",-71.2,-71.18858832793639,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34eb8130>,-28.0,CNCC1(N)CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(50, 42)",-70.9,-70.93595157165558,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34df6cf0>,-33.7,CCNCC1(N)CCCCC1,7.0,rdkit_embed_scoring_NH3toN2
"(41, 6)",-67.3,-67.3265636342943,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34d68270>,-31.9,Cc1cccc(CC(C)(N)C(C)C)c1,11.0,rdkit_embed_scoring_NH3toN2
"(38, 14)",-67.0,-67.04301861837446,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34d682b0>,-31.0,CC(C)C(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(35, 11)",-66.1,-66.10500319451486,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34df6d70>,-22.4,CC(C)(N)CCc1ccc2c(c1)CCC2,14.0,rdkit_embed_scoring_NH3toN2
"(38, 5)",-65.9,-66.56389270460475,0.9896763269140983,<rdkit.Chem.rdchem.Mol object at 0x7fce34d68130>,-26.9,CCCC(C)(N)CC,4.0,rdkit_embed_scoring_NH3toN2
"(50, 37)",-65.0,-64.98499674819895,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34d684f0>,-35.2,CCCC(C)(N)CCC,6.0,rdkit_embed_scoring_NH3toN2
"(26, 15)",-71.3,-71.31247720338031,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd81f0>,-22.7,CC(N)CC(C)Cc1ccccc1,12.0,rdkit_embed_scoring_NH3toN2
"(16, 12)",-71.0,-71.01515672548983,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34d70d30>,-24.7,CC(C)CC(C)N,4.0,rdkit_embed_scoring_NH3toN2
"(29, 44)",-70.8,-70.76041493220717,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd8e70>,-28.0,CC(N)CC(=Cc1ccccc1)C1CC1,8.0,rdkit_embed_scoring_NH3toN2
"(33, 48)",-69.1,-69.05230123783967,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34ceddf0>,-32.6,CC(N)Cc1ccc(Sc2ccccc2)cc1,16.0,rdkit_embed_scoring_NH3toN2
"(30, 19)",-67.6,-67.59126939198283,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34d68df0>,-28.2,CC(N)Cc1ccc(-c2ccccc2)cc1,10.0,rdkit_embed_scoring_NH3toN2
